Skill,Frequency
SQL (Programming Language),21733
Microsoft Excel,12826
Python (Programming Language),12253
SAP Applications,12123
Dashboard,11856
Tableau (Business Intelligence Software),11781
Power BI,10850
Microsoft Office,7564
Microsoft PowerPoint,7161
R (Programming Language),6104
Microsoft Azure,4759
Amazon Web Services,4692
Oracle Cloud,4053
SAS (Software),3539
Application Programming Interface (API),3509
Microsoft Access,3247
Relational Databases,3155
Salesforce,2838
Java (Programming Language),2632
Microsoft Outlook,2437
